idquery,"term",tf,tf1
1,"by",1,1.000000000000000
1,"constant",1,1.000000000000000
1,"dielectric",1,1.000000000000000
1,"liquids",1,1.000000000000000
1,"measurement",1,1.000000000000000
1,"microwave",1,1.000000000000000
1,"of",3,3.000000000000000
1,"techniques",1,1.000000000000000
1,"the",1,1.000000000000000
1,"use",1,1.000000000000000
2,"analysis",1,1.000000000000000
2,"and",1,1.000000000000000
2,"design",1,1.000000000000000
2,"details",1,1.000000000000000
2,"fed",1,1.000000000000000
2,"mathematical",1,1.000000000000000
2,"microwave",1,1.000000000000000
2,"of",1,1.000000000000000
2,"radiations",1,1.000000000000000
2,"waveguide",1,1.000000000000000
3,"and",1,1.000000000000000
3,"attenuation",1,1.000000000000000
3,"band",1,1.000000000000000
3,"characteristics",1,1.000000000000000
3,"computers",1,1.000000000000000
3,"design",1,1.000000000000000
3,"digital",1,1.000000000000000
3,"filters",1,1.000000000000000
3,"given",1,1.000000000000000
3,"having",1,1.000000000000000
3,"in",1,1.000000000000000
3,"of",2,2.000000000000000
3,"pass",1,1.000000000000000
3,"phase",1,1.000000000000000
3,"the",1,1.000000000000000
3,"use",1,1.000000000000000
4,"coding",1,1.000000000000000
4,"data",1,1.000000000000000
4,"for",1,1.000000000000000
4,"information",1,1.000000000000000
4,"of",1,1.000000000000000
4,"systems",1,1.000000000000000
4,"transfer",1,1.000000000000000
5,"computers",1,1.000000000000000
5,"engineering",1,1.000000000000000
5,"in",1,1.000000000000000
5,"of",2,2.000000000000000
5,"programs",1,1.000000000000000
5,"testing",1,1.000000000000000
5,"use",1,1.000000000000000
6,"binary",1,1.000000000000000
6,"in",1,1.000000000000000
6,"machines",1,1.000000000000000
6,"number",1,1.000000000000000
6,"representation",1,1.000000000000000
7,"bombardment",1,1.000000000000000
7,"by",1,1.000000000000000
7,"cathode",1,1.000000000000000
7,"electrons",1,1.000000000000000
7,"emission",1,1.000000000000000
7,"ion",1,1.000000000000000
7,"of",2,2.000000000000000
7,"positive",1,1.000000000000000
7,"secondary",1,1.000000000000000
7,"the",1,1.000000000000000
8,"arc",1,1.000000000000000
8,"discharge",1,1.000000000000000
8,"in",1,1.000000000000000
8,"measurement",1,1.000000000000000
8,"of",1,1.000000000000000
8,"plasma",1,1.000000000000000
8,"shock",1,1.000000000000000
8,"techniques",1,1.000000000000000
8,"temperatures",1,1.000000000000000
8,"using",1,1.000000000000000
8,"wave",1,1.000000000000000
9,"at",1,1.000000000000000
9,"characteristics",1,1.000000000000000
9,"discharge",1,1.000000000000000
9,"electrode",1,1.000000000000000
9,"gases",1,1.000000000000000
9,"in",1,1.000000000000000
9,"low",1,1.000000000000000
9,"of",1,1.000000000000000
9,"pressures",1,1.000000000000000
9,"rare",1,1.000000000000000
9,"single",1,1.000000000000000
9,"the",2,2.000000000000000
10,"calculating",1,1.000000000000000
10,"circuits",1,1.000000000000000
10,"dissipation",1,1.000000000000000
