id,"text",weight
1,"measurement of dielectric constant of liquids by the use of microwave techniques",1.000000000000000
2,"mathematical analysis and design details of waveguide fed microwave radiations",1.000000000000000
3,"use of digital computers in the design of band pass filters having given phase and attenuation characteristics",1.000000000000000
4,"systems of data coding for information transfer",1.000000000000000
5,"use of programs in engineering testing of computers",1.000000000000000
6,"number representation in binary machines",1.000000000000000
7,"secondary emission of electrons by positive ion bombardment of the cathode",1.000000000000000
8,"measurement of plasma temperatures in arc discharge using shock wave techniques",1.000000000000000
9,"characteristics of the single electrode discharge in the rare gases at low pressures",1.000000000000000
10,"methods of calculating instantaneous power dissipation in reactive circuits",1.000000000000000
11,"the effect of oxidation on circuit breaker contacts",1.000000000000000
12,"temperature independent methods for tuning highly stable high frequency oscillators",1.000000000000000
13,"mathematical expressions and graphs for the design of transistorised tuned pass band amplifiers",1.000000000000000
14,"synthesis of filters having high attenuation characteristics using a block diagram approach",1.000000000000000
15,"voltage current relationships in networks of nonlinear elements connected in parallel",1.000000000000000
16,"methods of approximating the frequency phase relationships for resistive inductive and resistive capacitive circuits",1.000000000000000
17,"observations of rapid fluctuations in the earths magnetic field and their relation to the propagation of hydromagnetic waves in the exosphere",1.000000000000000
18,"diurnal variations of fluctuations in the earths magnetic field",1.000000000000000
19,"spherical harmonic analysis of the earths magnetic field",1.000000000000000
20,"derivation of the components of the electrical conductivity in the upper atmosphere",1.000000000000000
21,"the effects of solar flares on the absorption of cosmic radio noise in the ionosphere",1.000000000000000
22,"determination of the current systems in the upper atmosphere during magnetic storms",1.000000000000000
23,"observations of the sun during eclipses giving the distribution of sources on the disc in the microwave range",1.000000000000000
24,"observations of the sun using radio interferometers",1.000000000000000
25,"equations governing the propagation of electromagnetic and hydromagnetic waves in the solar corona",1.000000000000000
26,"estimates of the density of ionization and temperature in the solar corona",1.000000000000000
27,"please send abstracts on the source spectra of lightning discharges",1.000000000000000
28,"the effect of small distortions in the surface of a cavity resonator",1.000000000000000
29,"the determination of the orbits of individual meteors by radio methods",1.000000000000000
30,"the determination of ion masses in the ionosphere by the study of back scattered radio waves",1.000000000000000
31,"theoretical studies of the source of high frequency radio waves emitted from the planet jupiter",1.000000000000000
32,"simultaneous observations of whistlers and lightning discharges",1.000000000000000
33,"variations in the height of reflection of low or very low frequency radio waves in the period before ground sunrise",1.000000000000000
34,"the use of ionospheric cross modulation in the determination of ionospheric electron densities and collision frequencies",1.000000000000000
35,"measurements of ionospheric drifts near the equator",1.000000000000000
36,"the use of analogue computers in upper atmosphere theory",1.000000000000000
37,"the use of lunar radio reflections in investigations of the nature of the moons surface",1.000000000000000
38,"what references on comparison between ground level and high altitude balloon cosmic ray results",1.000000000000000
39,"what references on model experiments in aurora",1.000000000000000
40,"what references on integral spectrum of primary cosmic rays",1.000000000000000
41,"ferromagnetic techniques for computer stores",1.000000000000000
42,"solution of differential equations by computer",1.000000000000000
43,"efficiency of digital computers versus analogue computers in the solution of boundary value problems",1.000000000000000
44,"methods of error checking in digital computers",1.000000000000000
