iddoc,idquery
6,62
11,51
30,55
45,56
47,74
77,21
77,24
80,25
80,26
81,23
81,26
84,19
86,37
88,25
88,26
90,19
91,17
91,22
91,61
93,17
93,18
94,17
94,22
94,61
95,22
115,35
118,61
119,17
124,27
129,84
133,47
141,3
143,54
143,71
143,86
144,56
145,41
147,46
148,3
154,10
154,14
155,14
161,55
169,73
180,90
181,72
182,93
187,9
207,92
213,38
213,40
260,15
263,42
275,75
281,13
308,66
313,67
328,25
328,26
329,25
329,26
330,40
332,38
342,19
343,17
345,18
362,34
363,34
369,35
399,41
402,6
402,46
414,2
417,15
427,73
439,56
439,72
442,56
443,93
449,7
450,7
450,77
451,7
451,77
459,66
471,24
473,23
475,40
476,40
477,19
478,21
483,22
494,21
496,17
505,90
515,41
515,52
516,41
516,52
517,41
530,55
532,12
532,93
540,74
541,56
541,72
543,72
552,64
577,21
579,40
580,26
581,40
598,38
608,22
616,35
617,35
621,21
636,52
636,87
643,71
648,16
653,14
654,78
662,49
667,47
668,74
676,56
678,56
696,7
736,19
736,22
738,19
739,18
742,17
743,61
757,21
773,41
775,5
775,41
776,48
782,75
784,85
785,72
788,93
808,56
810,83
810,89
811,52
812,47
813,3
827,7
829,7
863,40
874,21
875,19
876,22
879,22
893,20
893,61
905,21
907,21
909,39
912,22
914,27
914,32
918,84
922,5
923,41
924,41
924,54
935,75
939,78
949,55
951,41
957,53
957,74
959,83
959,86
961,68
974,91
982,64
983,64
994,64
995,21
996,21
997,21
998,24
1003,40
1004,19
1004,22
1007,37
1008,37
1011,25
1011,26
1027,61
1040,61
1048,27
1049,57
1055,41
1055,46
1059,91
1060,81
1070,69
1080,93
1085,68
1087,56
1091,56
1107,88
1116,29
1124,37
1128,17
1128,25
1154,27
1156,93
1159,49
1165,56
1176,71
1182,71
1195,41
1195,56
1200,56
1201,56
1202,56
1205,72
1239,1
1244,24
1246,31
1248,38
1251,37
1252,37
1262,22
1263,21
1264,22
1265,25
1274,21
1284,30
1290,18
1299,47
1304,15
1307,41
1307,52
1313,75
1317,14
1321,75
1322,75
1325,68
1337,13
1348,90
1348,91
1354,7
1379,67
1389,31
1395,24
1395,25
1395,26
1402,37
1403,29
1404,22
1407,19
1429,35
1455,54
1458,54
1461,93
1462,91
1467,82
1469,75
1474,78
1475,78
1481,73
1487,47
1487,83
1487,86
1497,56
1502,1
1556,22
1558,35
1571,35
1586,46
1597,41
1607,72
1610,3
1610,75
1617,73
1619,62
1626,47
1627,83
1638,74
1640,74
1650,25
1663,25
1663,26
1670,19
1671,17
1671,25
1695,22
1703,27
1703,32
1705,32
1712,41
1713,42
1714,41
1727,12
1732,13
1741,85
1764,61
1783,40
1788,24
1789,24
1789,26
1790,24
1794,24
1794,26
1796,25
1797,25
1799,19
1822,32
1829,15
1848,15
1850,14
1852,14
1862,71
1863,62
1882,67
1894,2
1907,21
1908,19
1932,32
1934,48
1954,69
1960,73
1964,93
1966,62
1972,47
1977,83
1979,74
1985,72
1996,61
2009,90
2013,21
2016,25
2016,26
2032,22
2041,44
2042,4
2050,52
2064,15
2072,12
2072,93
2076,55
2082,47
2084,47
2085,13
2091,72
2096,77
2103,88
2109,21
2112,19
2113,37
2118,21
2121,18
2124,22
2144,35
2146,21
2153,21
2155,61
2176,41
2178,48
2180,4
2180,41
2194,75
2209,13
2213,72
2225,67
2231,7
2253,38
2254,40
2256,37
2275,79
2280,61
2284,41
2286,89
2291,41
2306,75
2308,75
2311,14
2315,78
2327,82
2337,86
2342,56
2343,72
2380,24
2403,35
2407,22
2407,61
2413,34
2416,61
2423,42
2424,52
2425,62
2427,42
2428,41
2429,3
2445,82
2450,42
2450,43
2455,42
2458,13
2459,13
2463,13
2465,47
2465,86
2503,25
2505,22
2506,20
2532,79
2534,27
2538,22
2546,6
2546,46
2559,75
2565,87
2628,25
2628,26
2632,25
2632,26
2648,38
2667,49
2672,83
2674,36
2676,91
2679,41
2679,52
2685,84
2695,62
2698,62
2706,86
2712,74
2713,74
2718,90
2724,7
2724,77
2731,92
2732,64
2742,31
2744,38
2744,40
2745,40
2746,40
2768,33
2775,34
2779,27
2788,46
2790,41
2793,56
2793,72
2793,74
2801,71
2815,53
2817,46
2819,76
2822,83
2822,86
2854,91
2864,22
2876,17
2895,19
2900,21
2900,35
2905,21
2908,35
2928,44
2930,41
2933,42
2937,44
2938,41
2939,41
2942,91
2955,78
3004,29
3018,21
3020,79
3021,35
3037,41
3043,47
3056,72
3059,3
3065,15
3065,68
3066,76
3072,93
3076,47
3084,90
3087,87
3090,7
3090,77
3111,25
3111,26
3113,23
3113,25
3116,21
3124,35
3132,27
3140,46
3141,41
3143,46
3145,46
3147,55
3158,16
3162,55
3183,75
3185,56
3188,47
3191,56
3194,56
3209,7
3228,40
3246,80
3272,3
3272,14
3276,15
3278,85
3281,71
3284,12
3295,56
3297,13
3301,74
3314,87
3318,7
3318,77
3318,90
3318,91
3320,87
3332,66
3334,24
3343,29
3349,79
3351,25
3351,26
3354,24
3372,42
3372,43
3373,41
3373,46
3375,41
3391,75
3392,75
3394,78
3398,3
3398,13
3404,93
3425,87
3437,24
3438,24
3441,37
3444,19
3445,22
3446,20
3446,22
3455,35
3455,79
3464,30
3472,68
3483,15
3484,5
3485,46
3488,75
3503,14
3504,69
3514,12
3514,93
3515,16
3522,13
3523,14
3523,69
3523,83
3530,47
3531,10
3531,56
3533,74
3536,49
3538,67
3553,31
3554,24
3569,20
3570,35
3590,27
3595,4
3595,44
3599,41
3599,46
3599,52
3607,45
3610,54
3611,82
3614,3
3615,12
3615,69
3629,93
3641,13
3641,83
3641,86
3648,53
3666,7
3688,3
3703,35
3708,3
3708,57
3708,84
3710,84
3716,45
3719,15
3719,42
3719,90
3720,46
3733,68
3743,55
3754,47
3754,86
3755,47
3756,76
3761,56
3771,61
3774,8
3785,2
3785,65
3791,66
3799,23
3802,40
3807,25
3807,26
3817,35
3825,27
3830,27
3835,68
3852,13
3859,12
3859,93
3860,75
3860,93
3871,56
3876,72
3882,14
3882,16
3887,91
3897,7
3897,77
3917,26
3918,21
3918,25
3922,22
3922,35
3931,79
3939,41
3939,46
3940,46
3941,45
3945,41
3948,42
3953,41
3954,41
3963,15
3970,78
3978,71
