id,"term",idf,df
1106814,"a",0.186785675882205,7434
1107531,"aa",3.359038228379384,5
1147274,"aachen",4.058008232715403,1
1118216,"aad",3.756978237051421,2
1179512,"aan",3.756978237051421,2
1127756,"ab",3.279856982331683,6
1246635,"abac",4.058008232715403,1
1153096,"abacs",3.756978237051421,2
1308096,"abandoned",4.058008232715403,1
1336228,"abbreviated",3.756978237051421,2
1339482,"abbreviation",4.058008232715403,1
1256641,"abd",4.058008232715403,1
1355163,"abel",4.058008232715403,1
1250378,"abeles",4.058008232715403,1
1128471,"aberration",3.580886977995664,3
1175855,"aberrations",3.455948241387440,4
1188999,"abers",4.058008232715403,1
1137771,"ability",3.212910192701070,7
1290257,"abinger",3.580886977995664,3
1431634,"ablation",4.058008232715403,1
1201172,"able",3.279856982331683,6
1119633,"abnormal",2.696280396697582,23
1134494,"abnormalities",3.455948241387440,4
1381022,"abnormality",4.058008232715403,1
1187486,"abnormally",3.154918245723459,8
1389010,"aboard",3.756978237051421,2
1110139,"abombs",4.058008232715403,1
1107308,"about",1.332096600404851,532
1107447,"above",1.672401959110630,243
1234619,"abraded",3.756978237051421,2
1362131,"abrading",4.058008232715403,1
1210271,"abraham",4.058008232715403,1
1147256,"abridged",4.058008232715403,1
1123152,"abrupt",3.359038228379384,5
1144281,"abruptly",3.455948241387440,4
1378479,"abscissa",4.058008232715403,1
1316306,"abscissae",4.058008232715403,1
1115450,"absence",2.478224636097528,38
1148136,"absent",3.279856982331683,6
1116895,"absolute",2.626644468556111,27
1245225,"absolutely",4.058008232715403,1
1253605,"absorb",3.580886977995664,3
1406975,"absorbable",4.058008232715403,1
1139386,"absorbed",2.853888250059478,16
1179625,"absorbent",3.756978237051421,2
1121973,"absorber",3.016615547557177,11
1125596,"absorbers",3.103765723275774,9
1130634,"absorbing",2.643034884743673,26
1143247,"absorbs",4.058008232715403,1
1108939,"absorption",1.562463895159378,313
1245288,"absorptions",4.058008232715403,1
1441194,"absorptivity",3.756978237051421,2
1190685,"abstract",3.212910192701070,7
1123004,"abstracted",2.526529315672463,34
1196244,"abstracts",3.154918245723459,8
1272816,"abu",3.756978237051421,2
1245738,"abundance",3.455948241387440,4
1389295,"abundances",4.058008232715403,1
1355866,"abundant",4.058008232715403,1
1110773,"ac",2.171517507541249,77
1249940,"academy",3.359038228379384,5
1192489,"accelerated",3.103765723275774,9
1147433,"accelerates",3.756978237051421,2
1140977,"accelerating",3.154918245723459,8
1109006,"acceleration",2.643034884743673,26
1263252,"accelerations",3.455948241387440,4
1234775,"accelerator",3.359038228379384,5
1192829,"accelerators",3.580886977995664,3
1242940,"accelerometer",4.058008232715403,1
1270535,"accentuated",4.058008232715403,1
1160357,"accept",3.756978237051421,2
1262063,"acceptable",3.359038228379384,5
1393271,"acceptance",4.058008232715403,1
1139797,"accepted",2.944064880408148,13
1218844,"accepting",3.756978237051421,2
1138651,"acceptor",3.359038228379384,5
1172165,"accepts",3.359038228379384,5
1106816,"access",2.944064880408148,13
1411130,"accessibility",4.058008232715403,1
1368234,"accessible",4.058008232715403,1
1345775,"accessories",4.058008232715403,1
1222454,"accidentally",4.058008232715403,1
1346052,"accommodated",4.058008232715403,1
1411133,"accommodating",4.058008232715403,1
1323010,"accomodate",4.058008232715403,1
1108845,"accompanied",2.626644468556111,27
1171129,"accompanies",4.058008232715403,1
1224924,"accompany",3.756978237051421,2
1122238,"accompanying",2.802735727611792,18
1175218,"accomplished",3.154918245723459,8
1121941,"accord",3.756978237051421,2
1157853,"accordance",2.911880197037088,14
1112031,"according",2.434758942317426,42
1309522,"accordingly",4.058008232715403,1
1107035,"account",1.544790632640168,326
1129881,"accounted",2.802735727611792,18
1156266,"accounting",3.212910192701070,7
1109903,"accounts",2.944064880408148,13
1187016,"accretion",4.058008232715403,1
1410132,"accross",4.058008232715403,1
1367145,"accumulated",3.756978237051421,2
1130097,"accumulates",3.756978237051421,2
1351938,"accumulating",3.756978237051421,2
1227939,"accumulation",3.455948241387440,4
1395609,"accumulations",4.058008232715403,1
1204783,"accumulator",3.455948241387440,4
1242823,"accumulators",3.756978237051421,2
1108119,"accuracy",1.975222862396444,121
1110935,"accurate",2.194685372593236,73
1116047,"accurately",2.756978237051421,20
1263685,"ace",3.455948241387440,4
1282845,"acetaldehyde",4.058008232715403,1
1282837,"acetone",4.058008232715403,1
1182027,"achievable",3.756978237051421,2
1133662,"achieve",3.154918245723459,8
1107468,"achieved",1.989822370965859,117
1202680,"achievements",3.580886977995664,3
1430092,"achieves",4.058008232715403,1
1132390,"achieving",3.058008232715403,10
1356013,"achimota",4.058008232715403,1
1152398,"acid",3.154918245723459,8
1378688,"acknowledged",4.058008232715403,1
1298215,"acm",4.058008232715403,1
1108642,"acoustic",2.455948241387440,40
1258076,"acoustical",3.580886977995664,3
1118877,"acoustically",3.580886977995664,3
1278603,"acoustics",3.580886977995664,3
1251167,"acousto",3.756978237051421,2
1169222,"acoustoelectric",4.058008232715403,1
1351156,"acquire",4.058008232715403,1
1184834,"acquired",3.359038228379384,5
1413443,"acquiring",4.058008232715403,1
1110595,"across",2.118488980093630,87
1213006,"act",3.212910192701070,7
1122475,"acting",2.677796991003492,24
1111688,"action",2.103765723273038,90
1200737,"actions",3.756978237051421,2
1110837,"activated",3.359038228379384,5
1128590,"activation",3.756978237051421,2
1310045,"activator",4.058008232715403,1
1195324,"activators",4.058008232715403,1
1118063,"active",2.098966840392903,91
1127094,"activities",3.212910192701070,7
1112413,"activity",1.723554481564168,216
1150705,"acts",2.779254631762231,19
1109856,"actual",2.404795718938729,45
1211138,"actually",3.359038228379384,5
1201135,"actuate",3.756978237051421,2
1348951,"actuated",3.756978237051421,2
1348439,"actuating",4.058008232715403,1
1366437,"acute",4.058008232715403,1
1265024,"ad",2.376766995338599,48
1193925,"ada",4.058008232715403,1
1139132,"adams",3.580886977995664,3
1134938,"adaptability",4.058008232715403,1
1141005,"adaptable",3.359038228379384,5
1167721,"adaptation",3.058008232715403,10
1267234,"adaptations",4.058008232715403,1
1125909,"adapted",3.058008232715403,10
1271368,"adapter",4.058008232715403,1
1243512,"adapting",3.756978237051421,2
1386947,"adaptive",3.580886977995664,3
1157334,"adcock",3.756978237051421,2
1306105,"add",3.756978237051421,2
1164798,"addam",4.058008232715403,1
1120646,"added",2.802735727611792,18
1217535,"addendum",3.212910192701070,7
1107043,"adder",2.944064880408148,13
1218624,"adders",4.058008232715403,1
1110691,"adding",2.881916973659531,15
1110105,"addition",2.258667683260149,63
1125172,"additional",2.552858254395496,32
1115132,"additions",3.580886977995664,3
1218480,"additives",3.756978237051421,2
1135962,"additivity",4.058008232715403,1
1149640,"address",3.103765723275774,9
1178535,"adds",3.756978237051421,2
1232743,"adduced",3.580886977995664,3
1298583,"ade",4.058008232715403,1
1187113,"adelaide",3.279856982331683,6
1268895,"adelie",3.455948241387440,4
1115177,"adequate",2.779254631762231,19
1161308,"adequately",3.580886977995664,3
1142679,"adhesion",3.756978237051421,2
1142664,"adhesive",3.580886977995664,3
1139130,"adiabatic",3.154918245723459,8
1133755,"adjacent",2.735788937981407,21
1207209,"adjoining",3.756978237051421,2
1408179,"adjoint",4.058008232715403,1
1288451,"adjustabl",4.058008232715403,1
1107621,"adjustable",2.660068224043365,25
1144224,"adjusted",3.016615547557177,11
1117992,"adjusting",3.016615547557177,11
1115169,"adjustment",2.610850201372575,28
1171635,"adjustments",3.154918245723459,8
1121033,"adler",3.580886977995664,3
1147255,"administration",4.058008232715403,1
1262677,"admiraal",4.058008232715403,1
1293226,"admirable",4.058008232715403,1
1300035,"admirably",4.058008232715403,1
1118464,"admittance",2.309820205708594,56
1208727,"admittances",3.154918245723459,8
1169516,"admixture",4.058008232715403,1
1201746,"adopt",4.058008232715403,1
1122107,"adopted",2.756978237051421,20
1212359,"adopting",4.058008232715403,1
1204422,"adoption",3.455948241387440,4
1231624,"adsorbed",3.279856982331683,6
1261627,"adsorbing",4.058008232715403,1
1241034,"adsorption",3.756978237051421,2
1142581,"advance",3.756978237051421,2
1112592,"advanced",2.715585551893196,22
1377729,"advancement",4.058008232715403,1
1158167,"advances",2.944064880408148,13
1237045,"advancing",4.058008232715403,1
